Title,Author,Lenght
1. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 37 mins
2. Someone Else’s Shoes,By: Jojo Moyes,Length: 12 hrs and 21 mins
"3. Harry Potter and the Philosopher's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 25 mins
4. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
"5. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 43 mins
"6. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 12 hrs and 3 mins
7. Why Has Nobody Told Me This Before?,By: Dr Julie Smith,Length: 7 hrs and 13 mins
8. 8 Rules of Love,By: Jay Shetty,Length: 10 hrs and 10 mins
"9. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 54 mins
10. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
11. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 56 mins
"12. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 29 hrs and 1 min
13. The Thursday Murder Club,By: Richard Osman,Length: 12 hrs and 25 mins
14. Maybe in Another Life,By: Taylor Jenkins Reid,Length: 9 hrs and 9 mins
15. The Bullet That Missed,By: Richard Osman,Length: 11 hrs and 17 mins
"16. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 20 hrs and 31 mins
17. The Chimp Paradox,By: Prof Steve Peters,Length: 9 hrs and 45 mins
"18. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 23 hrs and 59 mins
19. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
20. Graves on the Fens,By: Joy Ellis,Length: 10 hrs and 50 mins
21. 12 Rules for Life,By: Jordan B. Peterson,Length: 15 hrs and 56 mins
"22. Friends, Lovers and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
23. Crooked Kingdom,By: Leigh Bardugo,Length: 17 hrs and 58 mins
24. The Man Who Died Twice,By: Richard Osman,Length: 12 hrs and 30 mins
25. The Mountain Shadow,By: Gregory David Roberts,Length: 33 hrs and 53 mins
26. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
27. Love Will Tear Us Apart,By: C. K. McDonnell,Length: 13 hrs and 23 mins
28. Mythos,By: Stephen Fry,Length: 15 hrs and 25 mins
29. The Last Remains,By: Elly Griffiths,Length: 9 hrs and 48 mins
30. The Stranger Times,By: C. K. McDonnell,Length: 11 hrs and 8 mins
31. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
32. Strong Female Character,By: Fern Brady,Length: 6 hrs and 44 mins
33. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
34. Victory City,By: Salman Rushdie,Length: 11 hrs and 48 mins
35. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
36. Exiles,By: Jane Harper,Length: 12 hrs and 27 mins
37. The Santa Killer,By: Ross Greenwood,Length: 11 hrs and 38 mins
38. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
39. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 16 mins
40. This Much Is True,By: Miriam Margolyes,Length: 15 hrs and 7 mins
41. Menopausing,"By: Davina McCall, Dr Naomi Potter",Length: 8 hrs and 59 mins
42. The Myth of Normal,"By: Gabor Maté, Daniel Maté",Length: 18 hrs and 12 mins
43. The Creative Act,By: Rick Rubin,Length: 5 hrs and 44 mins
44. From the Oasthouse: The Alan Partridge Podcast (Series 2),By: Alan Partridge,Length: 4 hrs and 15 mins
"45. Love, Pamela",By: Pamela Anderson,Length: 5 hrs and 28 mins
46. Sherlock Holmes: The Definitive Collection,"By: Stephen Fry - introductions, Arthur Conan Doyle",Length: 71 hrs and 57 mins
47. The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 47 mins
48. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
49. Shantaram,By: Gregory David Roberts,Length: 43 hrs
50. Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
51. Rich Dad Poor Dad,By: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
52. The Return of the King,By: J. R. R. Tolkien,Length: 21 hrs and 52 mins
53. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 59 mins
54. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
55. The Satsuma Complex,By: Bob Mortimer,Length: 6 hrs and 52 mins
56. And Away...,By: Bob Mortimer,Length: 7 hrs and 59 mins
57. Time to Think,By: Hannah Barnes,Length: 15 hrs and 52 mins
58. The Hobbit,By: J. R. R. Tolkien,Length: 10 hrs and 24 mins
59. Angron: The Red Angel,By: David Guymer,Length: 10 hrs and 57 mins
60. A Game of Thrones,By: George R.R. Martin,Length: 33 hrs and 45 mins
61. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
62. Windswept & Interesting,By: Billy Connolly,Length: 8 hrs and 38 mins
63. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
64. Hitchhiker's Guide to the Galaxy,By: Douglas Adams,Length: 5 hrs and 51 mins
65. The Sound of Laughter,By: Peter Kay,Length: 8 hrs and 17 mins
66. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
67. Stalin Ate My Homework,By: Alexei Sayle,Length: 8 hrs and 42 mins
68. The Light We Carry,By: Michelle Obama,Length: 9 hrs and 59 mins
69. The Sandman: Act II,"By: Neil Gaiman, Dirk Maggs",Length: 13 hrs and 47 mins
70. The Ink Black Heart,By: Robert Galbraith,Length: 32 hrs and 43 mins
71. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
72. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
73. Echoes of Eternity,By: Aaron Dembski-Bowden,Length: 15 hrs and 50 mins
74. Geneva,By: Richard Armitage,Length: 8 hrs and 54 mins
75. A Winter Grave,By: Peter May,Length: 9 hrs and 24 mins
76. Four Thousand Weeks,By: Oliver Burkeman,Length: 5 hrs and 53 mins
77. Manifest,By: Roxie Nafousi,Length: 4 hrs and 39 mins
78. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
79. Matilda,By: Roald Dahl,Length: 4 hrs and 18 mins
80. The Screaming Staircase,By: Jonathan Stroud,Length: 10 hrs and 7 mins
81. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
82. A Winter Grave,By: Peter May,Length: 9 hrs and 24 mins
83. Beyond the Wand,By: Tom Felton,Length: 6 hrs and 35 mins
84. The Fire Killer,By: Ross Greenwood,Length: 10 hrs and 16 mins
85. The Sandman,"By: Neil Gaiman, Dirk Maggs",Length: 11 hrs and 2 mins
86. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
87. Four Thousand Weeks,By: Oliver Burkeman,Length: 5 hrs and 53 mins
88. Manifest,By: Roxie Nafousi,Length: 4 hrs and 39 mins
89. The Colour of Magic,By: Terry Pratchett,Length: 7 hrs and 58 mins
90. Still Life,By: Sarah Winman,Length: 14 hrs and 55 mins
91. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
92. Colonialism,By: Nigel Biggar,Length: 12 hrs and 37 mins
93. Sort Your Head Out,By: Sam Delaney,Length: 6 hrs and 57 mins
94. Heroes,By: Stephen Fry,Length: 15 hrs
95. Never Split the Difference,"By: Chris Voss, Tahl Raz",Length: 8 hrs and 7 mins
96. Becoming,By: Michelle Obama,Length: 19 hrs and 3 mins
97. The Midnight Library,By: Matt Haig,Length: 9 hrs and 9 mins
98. The Good Drinker,By: Adrian Chiles,Length: 6 hrs and 45 mins
99. Shrines of Gaiety,By: Kate Atkinson,Length: 16 hrs and 3 mins
100. The World’s Worst Pets,By: David Walliams,Length: 3 hrs and 38 mins
